Time,result,bal_pre,leak_val,leak_val_1
Thu Jun  1 12:05:49 2023, PASS_RES,99955.681,3.174,0
Thu Jun  1 12:06:02 2023, PASS_RES,99959.053,2.054,0
Thu Jun  1 12:06:16 2023, PASS_RES,99958.957,5.047,0
Thu Jun  1 12:06:30 2023, PASS_RES,99959.074,5.984,0
Thu Jun  1 12:06:44 2023, PASS_RES,99957.807,3.322,0
Thu Jun  1 12:06:58 2023, PASS_RES,99952.653,2.648,0
Thu Jun  1 12:07:12 2023, PASS_RES,99951.082,2.96,0
Thu Jun  1 12:07:26 2023, PASS_RES,99950.246,4.223,0
Thu Jun  1 12:07:39 2023, PASS_RES,99949.845,3.236,0
Thu Jun  1 12:07:53 2023, PASS_RES,99945.623,3.154,0
Thu Jun  1 12:08:07 2023, PASS_RES,99943.252,4.632,0
Thu Jun  1 12:08:21 2023, PASS_RES,99944.47,7.025,0
Thu Jun  1 12:08:35 2023, PASS_RES,99941.476,5.678,0
Thu Jun  1 12:08:49 2023, PASS_RES,99938.412,0.479,0
